url,newest_date,oldest_date,title,chapter,subchapter,part,section
https://www.ecfr.gov/compare/2023-01-05/to/2023-01-04/title-26/chapter-I/subchapter-F/part-301/subpart-ECFR10a5878a3fd0526/subject-group-ECFR0e115b4049e57e2/section-301.6225-1,2023-01-05,2023-01-04,26,I,F,301,301.6225-1
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRa834962dae07957/section-1.861-11T,2022-12-29,2022-12-28,26,I,A,1,1.861-11
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFR69972ac139eebbf/section-1.897(l)-1,2022-12-29,2022-12-28,26,I,A,1,1.897
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1441-3,2022-12-29,2022-12-28,26,I,A,1,1.1441-3
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1445-1,2022-12-29,2022-12-28,26,I,A,1,1.1445-1
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1445-2,2022-12-29,2022-12-28,26,I,A,1,1.1445-2
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1445-5,2022-12-29,2022-12-28,26,I,A,1,1.1445-5
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1445-8,2022-12-29,2022-12-28,26,I,A,1,1.1445-8
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1446-1,2022-12-29,2022-12-28,26,I,A,1,1.1446-1
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1446-2,2022-12-29,2022-12-28,26,I,A,1,1.1446-2
https://www.ecfr.gov/compare/2022-12-29/to/2022-12-28/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRda73072501ca80e/section-1.1446-7,2022-12-29,2022-12-28,26,I,A,1,1.1446-7
https://www.ecfr.gov/compare/2022-12-16/to/2022-12-15/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRcb39f040b41b74b/section-1.36B-2,2022-12-16,2022-12-15,26,I,A,1,1.36
https://www.ecfr.gov/compare/2022-12-15/to/2022-12-14/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRca308c7e6b0ff17/section-1.5000A-2,2022-12-15,2022-12-14,26,I,A,1,1.5000
https://www.ecfr.gov/compare/2022-12-15/to/2022-12-14/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFRca308c7e6b0ff17/section-1.5000A-5,2022-12-15,2022-12-14,26,I,A,1,1.5000
https://www.ecfr.gov/compare/2022-12-15/to/2022-12-14/title-26/chapter-I/subchapter-A/part-1/subject-group-ECFR31749dec6d4756f/section-1.6055-1,2022-12-15,2022-12-14,26,I,A,1,1.6055-1
